KarteNo,Kanal,Steig,Offset
121,0,-0.013455,-7.436051
121,1,-0.012129,-9.093777
121,2,-0.014136,-6.288082
121,3,-0.011964,-8.784954
121,4,-0.013300,-6.939478
121,5,-0.013660,-7.009096
121,6,-0.013165,-7.782672
121,7,-0.012459,-9.293910
122,0,-0.014880,-5.054713
122,1,-0.015209,-4.581632
122,2,-0.016420,-2.590540
122,3,-0.013533,-7.175160
122,4,-0.014972,-4.347325
122,5,-0.015078,-4.643243
122,6,-0.014678,-5.466162
122,7,-0.006292,-19.695040
123,0,-0.015304,-4.621491
123,1,-0.015467,-4.199605
123,2,-0.012789,-8.068501
123,3,-0.014218,-5.702984
123,4,-0.014691,-4.744180
123,5,-0.016180,-2.843984
123,6,-0.014277,-6.533924
123,7,-0.015246,-4.730781
124,0,-0.015830,-3.196888
124,1,-0.015291,-3.996586
124,2,-0.015518,-3.775422
124,3,-0.015460,-3.666881
124,4,-0.016139,-3.439045
124,5,-0.016579,-1.715193
124,6,-0.016178,-3.672100
124,7,-0.014078,-6.191606
125,0,-0.013922,-6.511376
125,1,-0.017417,-1.597064
125,2,-0.013885,-6.115096
125,3,-0.016862,-1.875235
125,4,-0.014114,-6.387993
125,5,-0.015379,-4.157635
125,6,-0.015318,-4.819481
125,7,-0.014064,-6.767760
